"## Centroid Data for pc board: ""RGB_Station_v12.brd"" as of: 2/26/2018 9:02 PM",,,,,,,
## Measurements are in inches. Comma delimited,,,,,,,
## Only surface mount components included,,,,,,,
RefDes,X (in),Y (in),Rotation,Side,MPN,DigiKey,
C2,0.094,0.094,0,Top,C0603C105Z8VACTU,399-3216-1-ND,
C3,2.634,0.3,270,Top,C0603C105Z8VACTU,399-3216-1-ND,
C4,2.226,0.192,180,Top,GCJ188R71H104KA12D,490-5798-1-ND,
C5,2.314,0.234,90,Top,CL21F106ZPFNNNE,1276-3012-1-ND,
C6,0.952,0.586,0,Top,GCJ188R71H104KA12D,490-5798-1-ND,
C7,1.202,0.286,0,Top,GCJ188R71H104KA12D,490-5798-1-ND,
C8,1.81,0.197,90,Top,GCJ188R71H104KA12D,490-5798-1-ND,
C9,1.644,0.53,180,Top,GCJ188R71H104KA12D,490-5798-1-ND,
C10,2.304,0.348,0,Top,GCJ188R71H104KA12D,490-5798-1-ND,
C11,3.036,0.262,90,Top,EEE-1AA101WR,PCE3867CT-ND,
C12,0.952,0.646,0,Top,CL21F106ZPFNNNE,1276-3012-1-ND,
C13,2.404,0.298,270,Top,CL21F106ZPFNNNE,1276-3012-1-ND,
C14,1.526,0.412,90,Top,GCJ188R71H104KA12D,490-5798-1-ND,
IC1,2.526,0.462,270,Top,MCP1702T-3302E/MB,MCP1702T-3302E/MBCT-ND,Origin must be in center of part
J3,3.338,0.214,180,Top,629105136821,732-3155-1-ND,
LED1,2.434,0.214,90,Top,5988020107F,350-2030-1-ND,Rotation should be 360
LED2,2.34,0.504,0,Top,150060GS75000,732-4971-1-ND,Rotation should be -90
LED3,0.064,0.62,270,Top,150060BS75000,732-4966-1-ND,Rotation should be 180
R1,1.404,0.478,180,Top,RMCF0603JT10K0,RMCF0603JT10K0CT-ND,
R2,1.2,0.18,180,Top,RMCF0603JT100R,RMCF0603JT100RCT-ND,
R3,1.2,0.234,0,Top,RMCF0603JT100R,RMCF0603JT100RCT-ND,
R4,0.188,0.62,0,Top,RMCF0603JT8K20,RMCF0603JT8K20CT-ND,
R8,2.286,0.438,270,Top,RMCF0603JT8K20,RMCF0603JT8K20CT-ND,
R9,2.516,0.3,90,Top,RMCF0603JT10K0,RMCF0603JT10K0CT-ND,
R10,0.22,0.094,180,Top,RMCF0603JT10K0,RMCF0603JT10K0CT-ND,
R11,2.462,0.3,90,Top,RMCF0603JT8K20,RMCF0603JT8K20CT-ND,
SW1,1.222,0.482,0,Top,KMR221GLFS,401-1427-1-ND,
SW2,1.604,0.21,0,Top,KMR221GLFS,401-1427-1-ND,
U1,2,0.35,135,Top,PIC32MX270F256D-50I/ML,PIC32MX270F256D-50I/ML-ND,
U2,1.378,0.208,0,Top,SN74LVC2T45DCUR,296-17014-1-ND,
U3,1.404,0.346,0,Top,MCP131T-315E/TT,MCP131T-315E/TTCT-ND,
U4,1.642,0.414,90,Top,DSC6111CI1A-008.0000,DSC6111CI1A-008.0000-ND,
U6,0.296,0.174,90,Top,RN4871-V/RM118,RN4871-V/RM118-ND,
